Order,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
45,2746882,Hogan Hall,3612678,Columbia University (morningside),1018850061,1018850061,1057049,566 West 114th Street,Not Available,10027,2910,BROADWAY,Manhattan,52624,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,72109,Not Available,Not Available,Not Available,Not Available,1898,1,100,Whole Building,Not Available,89,30.4,30.4,8.6,0,93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,85200,852,2106568.7,617399.9,200,4.5,195.5,72109,Not Available,Not Available,93,04/24/2017 06:52:20 PM,,In Compliance,40.806444,-73.96503,9,7,199,Morningside Heights
46,2658276,Broadway Residence,3612678,Columbia University (morningside),1018857501,1018857501,1057018,2900 Broadway,Not Available,10027,2900,BROADWAY,Manhattan,135458,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,140056,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,86,34.2,34.2,10,Not Available,107.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4787718.5,1403199.9,444.3,0,444.3,140056,Not Available,Not Available,107.3,04/24/2017 06:52:20 PM,,In Compliance,40.806172,-73.965229,9,7,199,Morningside Heights
47,2658264,Alfred Lerner Hall,3612678,Columbia University (morningside),1018860001,1018860001,1082166,2920 Broadway,Not Available,10027,,,,,Office,Office,Office,258119,Not Available,Not Available,Not Available,Not Available,1999,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,258119,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
48,2658465,Butler Library,3612678,Columbia University (morningside),1018860001,1018860001,1082165,535 West 114th Street,Not Available,10027,,,,,Office,Office,Office,441108,Not Available,Not Available,Not Available,Not Available,1934,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,441108,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
49,2658502,Carman,3612678,Columbia University (morningside),1018860001,1018860001,1082692,545 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,157385,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,0,0,157385,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
50,2746906,Hartley Hall,3612678,Columbia University (morningside),1018860001,1018860001,1084845,1124 Amsterdam Avenue,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,79951,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,79951,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
51,2746908,Hamilton Hall,3612678,Columbia University (morningside),1018860001,1018860001,1084846,1130 Amsterdam Avenue,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,87639,Not Available,Not Available,Not Available,Not Available,1907,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,87639,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
52,2746913,Wallach Hall,3612678,Columbia University (morningside),1018860001,1018860001,1082160,1116 Amsterdam Avenue,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,78464,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,78464,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
53,2747205,Furnald,3612678,Columbia University (morningside),1018860001,1018860001,1082163,2940 Broadway,Not Available,10027,,,,,Office,Office,Office,77271,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,77271,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
54,2747207,Journalism,3612678,Columbia University (morningside),1018860001,1018860001,1082164,2950 Broadway,Not Available,10027,,,,,Office,Office,Office,103681,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,103681,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
55,2747212,Dodge Hall,3612678,Columbia University (morningside),1018860001,1018860001,1082164,2960 Broadway,Not Available,10027,,,,,Office,Office,Office,101704,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,101704,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
56,2747271,John Jay,3612678,Columbia University (morningside),1018860001,1018860001,1083301,511 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,169396,Not Available,Not Available,Not Available,Not Available,1935,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,0,0,169396,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
57,2747217,Wien Hall,3612678,Columbia University (morningside),1019610001,1019610001,1083610,411 West 116th Street,Not Available,10027,1145,AMSTERDAM AVENUE,Manhattan,710600,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,105156,Not Available,Not Available,Not Available,Not Available,1925,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,0,0,105156,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,40.80709,-73.960847,9,7,20101,Morningside Heights
58,2780716,Jerome Greene Law School,3612678,Columbia University (morningside),1019610001,1019610001,1076680,435 West 116th Street,Not Available,10027,1145,AMSTERDAM AVENUE,Manhattan,710600,Office,Office,Office,249978,Not Available,Not Available,Not Available,Not Available,1961,1,100,Whole Building,Not Available,73,73.4,73.4,21.5,Not Available,230.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18337452.7,5374399.3,1701.7,0,1701.7,249978,Not Available,Not Available,230.3,04/24/2017 06:52:20 PM,No,In Compliance,40.80709,-73.960847,9,7,20101,Morningside Heights
59,3114587,President's House,3612678,Columbia University (morningside),1019610001,1019610001,1083609,60 Morningside Drive,Not Available,10027,1145,AMSTERDAM AVENUE,Manhattan,710600,Office,Office,Office,16803,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,100,0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,0,0,16803,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,40.80709,-73.960847,9,7,20101,Morningside Heights
60,3114642,Faculty House,3612678,Columbia University (morningside),1019610001,1019610001,1809321,400 W 117th St,Not Available,10027,1145,AMSTERDAM AVENUE,Manhattan,710600,Office,Office,Office,36752,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,36752,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.80709,-73.960847,9,7,20101,Morningside Heights
61,3114648,Jerome Greene Annex,3612678,Columbia University (morningside),1019610001,1019610001,Not Available,410 W 117th St,Not Available,10027,1145,AMSTERDAM AVENUE,Manhattan,710600,Office,Office,Office,6287,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,6287,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.80709,-73.960847,9,7,20101,Morningside Heights
62,2780735,International Affairs,3612678,Columbia University (morningside),1019610039,1019610039,1059497,420 West 118th Street,Not Available,10027,1165,AMSTERDAM AVENUE,Manhattan,422915,Office,Office,Office,423521,Not Available,Not Available,Not Available,Not Available,1910,1,100,Whole Building,Not Available,71,69.9,69.9,20.5,Not Available,219.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29607971.1,8677598.9,2747.6,0,2747.6,423521,Not Available,Not Available,219.5,04/24/2017 06:52:20 PM,No,In Compliance,40.807738,-73.960373,9,7,20101,Morningside Heights
63,2780733,East Campus,3612678,Columbia University (morningside),1019610057,1019610057,1059498,410 West 118th Street,Not Available,10027,74,MORNINGSIDE DRIVE,Manhattan,365100,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,352040,Not Available,Not Available,Not Available,Not Available,1980,1,100,Whole Building,Whole Building,100,0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,0,0,352040,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,40.807023,-73.958712,9,7,20101,Morningside Heights
64,2658274,Avery && Extension,3612678,Columbia University (morningside),1019730001,1019730001,1084460,1172 Amsterdam Avenue,Not Available,10027,530,WEST 120 STREET,Manhattan,1368870,Office,Office,Office,95954,Not Available,Not Available,Not Available,Not Available,1977,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,95954,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.809752,-73.960217,9,7,203,Morningside Heights
65,2658585,CEPSR Schapiro,3612678,Columbia University (morningside),1019730001,1019730001,1084476,530 West 120th Street,Not Available,10027,530,WEST 120 STREET,Manhattan,1368870,Office,Office,Office,204069,Not Available,Not Available,Not Available,Not Available,1988,1,100,Whole Building,Not Available,1,4377.4,4377.4,179.3,37.7,5874.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,768452989,7684529.9,124836566,3.65875002E7,52401,40816.2,11584.8,204069,Not Available,Not Available,5874.8,04/24/2017 06:52:20 PM,No,In Compliance,40.809752,-73.960217,9,7,203,Morningside Heights
66,2658588,Chandler,3612678,Columbia University (morningside),1019730001,1019730001,1084469,3010 Broadway,Not Available,10027,530,WEST 120 STREET,Manhattan,1368870,Office,Office,Office,77917,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,77917,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.809752,-73.960217,9,7,203,Morningside Heights
67,2746865,Mathematics,3612678,Columbia University (morningside),1019730001,1019730001,1084467,2990 Broadway,Not Available,10027,530,WEST 120 STREET,Manhattan,1368870,Office,Office,Office,60373,Not Available,Not Available,Not Available,Not Available,1897,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,60373,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.809752,-73.960217,9,7,203,Morningside Heights
68,2746866,Fayerweather,3612678,Columbia University (morningside),1019730001,1019730001,1084459,1180 Amsterdam Avenue,Not Available,10027,530,WEST 120 STREET,Manhattan,1368870,Office,Office,Office,62004,Not Available,Not Available,Not Available,Not Available,1987,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,62004,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.809752,-73.960217,9,7,203,Morningside Heights
69,2746873,Lewisohn,3612678,Columbia University (morningside),1019730001,1019730001,1084465,2970 Broadway,Not Available,10027,530,WEST 120 STREET,Manhattan,1368870,Office,Office,Office,59847,Not Available,Not Available,Not Available,Not Available,1924,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,59847,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.809752,-73.960217,9,7,203,Morningside Heights
70,2746880,Philosophy,3612678,Columbia University (morningside),1019730001,1019730001,1084458,1150 Amsterdam Avenue,Not Available,10027,530,WEST 120 STREET,Manhattan,1368870,Office,Office,Office,64447,Not Available,Not Available,Not Available,Not Available,1911,1,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,64447,Not Available,Not Available,Not Available,04/24/2017 06:52:20 PM,No,In Compliance,40.809752,-73.960217,9,7,203,Morningside Heights
